impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic,30000000,14,1,1857859,0.000011,0.000018,1.106598,0.003663,0.042280,0.096941,1.249769,1.003368,1,B
mpi-dynamic,30000000,14,1,1857859,0.000008,0.000020,0.709060,0.010683,0.038697,0.078394,0.837147,1.007476,2,B
mpi-dynamic,30000000,14,1,1857859,0.000008,0.000015,0.695297,0.004014,0.039579,0.078278,0.817375,1.004105,3,B
mpi-dynamic,30000000,16,1,1857859,0.000008,0.000013,0.910743,0.003934,0.038857,0.078038,1.031860,1.004300,1,B
mpi-dynamic,30000000,16,1,1857859,0.000008,0.000013,0.955430,0.006076,0.038719,0.079245,1.079642,1.004594,2,B
mpi-dynamic,30000000,16,1,1857859,0.000008,0.000013,0.887312,0.006566,0.042291,0.084225,1.021821,1.006170,3,B
mpi-block,30000000,8,1,1857859,0.000008,0.000016,0.919904,0.007022,0.000000,0.096909,1.027733,3.652571,1,C
mpi-block,30000000,8,1,1857859,0.000009,0.000019,0.898473,0.004532,0.000000,0.099486,1.003173,3.312084,2,C
mpi-block,30000000,8,1,1857859,0.000011,0.000025,0.877996,0.003406,0.000000,0.101113,0.983207,3.398457,3,C
mpi-cyclic,30000000,8,1,1857859,0.000009,0.000029,0.635526,0.004136,0.061566,0.081384,0.784832,1.120001,1,C
mpi-cyclic,30000000,8,1,1857859,0.000008,0.000023,0.696363,0.003447,0.063691,0.094080,0.858966,1.096739,2,C
mpi-cyclic,30000000,8,1,1857859,0.000008,0.000015,0.619686,0.003351,0.062084,0.081576,0.767770,1.120199,3,C
mpi-blockcyclic,30000000,8,1,1857859,0.000007,0.000018,0.638147,0.004103,0.043965,0.085541,0.775471,1.124313,1,C
mpi-blockcyclic,30000000,8,1,1857859,0.000007,0.000019,0.597317,0.009647,0.040123,0.095456,0.744743,1.051363,2,C
mpi-blockcyclic,30000000,8,1,1857859,0.000011,0.000015,0.599052,0.003334,0.039670,0.080459,0.726539,1.070966,3,C
mpi-dynamic,30000000,8,1,1857859,0.000008,0.000020,0.800482,0.004723,0.041523,0.083246,0.931177,1.002119,1,C
mpi-dynamic,30000000,8,1,1857859,0.000008,0.000016,0.744136,0.007181,0.040256,0.080411,0.880960,1.003509,2,C
mpi-dynamic,30000000,8,1,1857859,0.000007,0.000019,0.708764,0.004007,0.040203,0.081388,0.835272,1.001162,3,C
